--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
  4900019049 /    1  ZL    800000     110410     HARDY SPICER                          INVENTORY                          1.00-         1.000 MAESTM       07.09.2018 30.0
  4900019158 /    1  ZL    800000     110410     HARDY SPICER                          INVENTORY                          1.00-         1.000 MAPARK       07.09.2018 31.0
  4900019260 /    1  ZL    800000     110410     HARDY SPICER                          INVENTORY                          1.00-         1.000 MAESTM       07.09.2018 31.0
  4900019536 /    1  ZL    800000     110410     HARDY SPICER                          INVENTORY                          1.00-         1.000 MAPARK       07.09.2018 30.0
  4900019831 /    1  ZL    800000     110410     HARDY SPICER                          INVENTORY                          1.00-         1.000 MAESTM       07.09.2018 06.0
  4900019913 /    1  ZL    800000     115443     ASHBOLT ENGINEERING SERVICES PTY LT   INVENTORY                          1.00-         1.000 MAJOVS       04.12.2018 26.1
  4900020462 /    1  ZL    800000     103722     RENOLD AUSTRALIA PTY LTD(WETHERILL    INVENTORY                      20151.02-         1.000 MA9SMIC      14.02.2019 23.1
  4900020503 /    1  ZL    800000     102390     ATLAS RUBBER PTY LTD                  INVENTORY                          1.00-         1.000 MALAKG       12.09.2018 14.0
  4900020591 /    1  ZL    800000     115443     ASHBOLT ENGINEERING SERVICES PTY LT   INVENTORY                      12530.00-         1.000 MA9SMIC      20.03.2018 28.0
  4900020671 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MASMIC6      27.04.2018 26.0
  4900020708 /    1  ZL    800000     202429     FLSMIDTH A S                          INVENTORY                      12986.63-         1.000 MALAKG       25.05.2018 03.0
  4900020767 /    1  ZL    800000     103385     SCHENCK PROCESS AUSTRALIA PTY LTD     INVENTORY                          1.00-         1.000 MALAKG       12.09.2018 26.0
  4900020798 /    1  ZL    800000     103385     SCHENCK PROCESS AUSTRALIA PTY LTD     INVENTORY                       1200.00-         1.000 MALAKG       12.09.2018 18.0
  4900020807 /    1  ZL    800000     108214     DANIEL ENGINEERING PTY LTD            INVENTORY                          1.00-         1.000 MASMIC6      18.04.2018 03.0
  4900020811 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MASMIC6      27.04.2018 10.0
  4900020862 /    1  ZL    800000     103960     DAVID BROWN GEAR INDUSTRIES LTD       INVENTORY                       7512.07-         0.027 MALAKG       31.01.2019 14.1
  4900020865 /    1  ZL    800000     102690     ROTORK AUSTRALIA PTY LTD              INVENTORY                       2834.00-         1.000 MAJOVS       25.02.2019 21.1
  4900020942 /    1  ZL    800000     116718     DAPTO CLUTCH AND BRAKE PTY LTD        INVENTORY                       1600.00-         2.000 MAVALD       23.08.2018 30.0
  4900020998 /    1  ZL    800000     115215     EMERSON AUTOMATION SOLUTIONS          INVENTORY                          1.00-         1.000 MALAKG       15.05.2018 23.0
  4900021029 /    1  ZL    800000     104104     SOUTHERN PUMPING SPECIALISTS PTY LT   INVENTORY                          1.00-         1.000 MALAKG       21.06.2018 15.0
  4900021052 /    1  ZL    800000     114668     PUMPSEAL SALES TECHNOLOGY SOLUTIONS   INVENTORY                          1.00-         1.000 MALAKG       12.09.2018 18.0
  4900021087 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MASMIC6      15.08.2018 13.0
  4900021153 /    1  ZL    800000     110301     CUTTING EDGES EQUIPMENT PARTS PTY L   INVENTORY                          1.00-         1.000 MASMIC6      24.08.2018 29.0
  4900021189 /    1  ZL    800000     103358     HYTEC SERVICES PTY LTD                INVENTORY                          1.00-         1.000 MAJOVS       15.08.2018 16.0
  4900021252 /    1  ZL    800000     107917     USE 117210 ALL PUMPS SALES & SERVIC   INVENTORY                          1.00-         1.000 MAJOVS       12.09.2018 20.0
  4900021265 /    1  ZL    800000     112874     BULKQUIP PTY LTD                      INVENTORY                          1.00-         1.000 MAJOVS       03.09.2018 26.0
  4900021378 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MASMIC6      15.08.2018 28.0
  4900021429 /    1  ZL    800000     103512     DCL ENGINEERING PTY LTD               INVENTORY                          1.00-         1.000 MAJOVS       06.12.2018 11.0
  4900021433 /    1  ZL    800000     104087     WEIR MINERALS AUSTRALIA LTD           INVENTORY                      11500.00-         1.000 MALAKG       03.12.2018 30.1
  4900021443 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MASMIC6      12.09.2018 13.0
  4900021453 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MALAKG       29.10.2018 27.0
  4900021513 /    1  ZL    800000     103652     MCCOLL ENGINEERING PTY LTD            INVENTORY                      20776.00-         0.000 MASMIC6      25.02.2019 01.0
  4900021514 /    1  ZL    800000     103652     MCCOLL ENGINEERING PTY LTD            INVENTORY                      19880.00-         0.000 MASMIC6      25.02.2019 01.0
  4900021537 /    1  ZL    800000     104424     INTEGRITY PUMPS & ENGINEERING         INVENTORY                          1.00-         1.000 MAJOVS       24.09.2018 03.1
  4900021551 /    1  ZL    800000     113703     AERZEN AUSTRALIA PTY LTD              INVENTORY                          1.00-         1.000 MALAKG       03.10.2018 05.1
  4900021552 /    1  ZL    800000     103512     DCL ENGINEERING PTY LTD               INVENTORY                          1.00-         1.000 MALAKG       07.02.2019 20.1
  4900021558 /    1  ZL    800000     102831     VALVEMAN                              INVENTORY                          1.00-         1.000 MALAKG       25.09.2018 09.1
  4900021581 /    1  ZL    800000     117210     ALL PUMPS PTY LTD                     INVENTORY                          1.00-         1.000 MALAKG       04.12.2018 12.1
  4900021633 /    1  ZL    800000     103950     FAIVELEY TRANSPORT AUSTRALIA LTD      INVENTORY                          1.00-         1.000 MALAKG       21.01.2019 25.1
  4900021692 /    1  ZL    800000     103151     JOHNSTON & SMITH ENGINEERING          INVENTORY                       3520.00-         1.000 MALAKG       23.11.2018 07.1
  4900021693 /    1  ZL    800000     103151     JOHNSTON & SMITH ENGINEERING          INVENTORY                       3520.00-         1.000 MALAKG       23.11.2018 07.1
  4900021737 /    1  ZL    800000     104424     INTEGRITY PUMPS & ENGINEERING         INVENTORY                          1.00-         1.000 MAJOVS       30.01.2019 31.0
  4900021782 /    1  ZL    800000     103806     SEW EURODRIVE PTY LTD (WETHERILL PA   INVENTORY                          0.01-         1.000 MALAKG       30.01.2019 10.1
  4900021835 /    1  ZL    800000     116718     DAPTO CLUTCH AND BRAKE PTY LTD        INVENTORY                       9040.00-        16.000 MAVALD       19.12.2018 18.1
  4900021836 /    1  ZL    800000     111744     AUST ENGINEERING SALES & SERVICE NS   INVENTORY                          1.00-         1.000 MASMIC6      30.01.2019 25.1
  4900021839 /    1  ZL    800000     103719     M&S ENGINEERING PTY LTD               INVENTORY                       8574.00-         0.000 MALAKG       28.02.2019 28.0
  4900021852 /    1  ZL    800000     112771     WEIR MINERALS (SERVICES)              INVENTORY                      13131.00-         0.000 MALAKG       06.02.2019 01.0
  4900021855 /    1  ZL    800000     114042     ROCKLABS                              INVENTORY                          1.00-         1.000 MALAKG       26.02.2019 27.1
  4900021883 /    1  ZL    800000     116718     DAPTO CLUTCH AND BRAKE PTY LTD        INVENTORY                          2.00-         2.000 MAVALD       11.01.2019 07.0
  4900021922 /    1  ZL    800000     117210     ALL PUMPS PTY LTD                     INVENTORY                          1.00-         1.000 MAlakg       22.01.2019 25.0
  4900021932 /    1  ZL    800000     103719     M&S ENGINEERING PTY LTD               INVENTORY                       1776.00-         0.000 MALAKG       28.02.2019 28.0
  4900021933 /    1  ZL    800000     102390     ATLAS RUBBER PTY LTD                  INVENTORY                       1246.00-         1.000 MALAKG       15.02.2019 18.0
  4900021934 /    1  ZL    800000     102390     ATLAS RUBBER PTY LTD                  INVENTORY                       2033.25-         1.000 MALAKG       15.02.2019 18.0
  4900021980 /    1  ZL    800000     104080     VOITH TURBO PTY LTD                   INVENTORY                          1.00-         1.000 MAJOVS       19.02.2019 15.0
  4900022017 /    1  ZL    800000     113569     LSW GROUP PTY LTD                     INVENTORY                       4200.00-         0.000 MAESTM       22.02.2019 27.0

                                                                                                        ---------------
**    Total for expenditure type                                                                         69,691,501.71-

Expenditure type:  F         Order
Category:          AMGL                        Settlement IO to GL

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3800975628 /    7  ECPO  800000     104557     MARUBENI ITOCHU STEEL OCEANIA PTY L F       502643                    5000.00-         0.000 MATROM1      10.07.2018 23.0
  3801013132 /    6  ECPO  800000     104557     MARUBENI ITOCHU STEEL OCEANIA PTY L F       502643                       1.00-         0.000 MATROM1      08.01.2019 04.0
  3801013132 /    7  ECPO  800000     104557     MARUBENI ITOCHU STEEL OCEANIA PTY L F       502643                   85335.45-         2.000 MATROM1      15.02.2019 01.0
  3801013139 /    5  ECPO  800000     104557     MARUBENI ITOCHU STEEL OCEANIA PTY L F       502643                       1.00-         0.000 MATROM1      24.12.2018 05.1
  3801013584 /    1  ECPO  800000     201135     SINOSTEEL XINGTAI MACHINERY & MILL  F       502643                       0.50-         0.000 MATROM1      18.10.2018 02.0
  3801026189 /    1  ECPO  800000     200930     UNION ELECTRIC STEEL CORPORATION    F       502643                  192838.69-         1.000 MATROM1      08.01.2019 03.1

                                                                                                        ---------------
*     Total for category AMGL                                                                               283,176.64-

Category:          PKSS                        PK Statistical Standing Order

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3801110628 /    1  ECPO  800000     114108     TRANSPORT ROADS & MARITIME SERVICES F       100720                     566.54-         1.000 MACAUM       13.11.2018 13.0

                                                                                                        ---------------
*     Total for category PKSS                                                                                   566.54-

Category:          PM01                        Non Routine

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3800966860 /    1  ECPO  800000     105292     MAK ENGINEERING PROJECTS PTY LTD    F     10589557                    2160.00-         4.000 MAGREE       21.08.2017 25.0
  3800971083 /    2  ECPO  800000     200462     SMS GROUP GMBH                      F     10590895                    5000.00-         0.000 MA9MCGBR     17.04.2018 03.0
  3800971083 /    3  ECPO  800000     200462     SMS GROUP GMBH                      F     10590895                    5000.00-         0.000 MA9MCGBR     17.04.2018 03.0
  3800971083 /    4  ECPO  800000     200462     SMS GROUP GMBH                      F     10590895                    5000.00-         0.000 MA9MCGBR     17.04.2018 03.0
  3800974413 /    1  ECPO  800000     114003     KWIKCUT PTY LTD                     F     10575720                     329.20-         1.000 MA9RIED      26.02.2018 17.0
  3800984926 /    2  ECPO  800000     200689     TMT TAPPING MEASURING TECHNOLOGY GM F     10596319                    5000.00-         0.000 MAZUZJ       02.03.2018 06.1
  3800984926 /    3  ECPO  800000     200689     TMT TAPPING MEASURING TECHNOLOGY GM F     10596319                    5000.00-         0.000 MAZUZJ       02.03.2018 06.1
  3800984926 /    4  ECPO  800000     200689     TMT TAPPING MEASURING TECHNOLOGY GM F     10596319                    5000.00-         0.000 MAZUZJ       02.03.2018 06.1
  3800984926 /    5  ECPO  800000     200689     TMT TAPPING MEASURING TECHNOLOGY GM F     10596319                    5000.00-         0.000 MAZUZJ       02.03.2018 06.1
